Company,Industry,Ticker,Type,Market,Seniority,ISIN,Currency,State,Moody's,S&P,Fitch,Country,Ownership,Maturity,Next Payment,Coupon Type,Coupon Frequency,Coupon,Current Yield,YTM / YTC,Price,Available
Thames Water,"Energy, Utilities & Infrastructure",THAMES_2026,Bond,Main Market,Unsecured,XS2258560361,GBP,Open,B1,,B+,UK,Private,19-05-2026,19-11-2022,Fixed,Biannual,4.625%,5.490,10.068,84.2500,65266.1200
Charities Aid Foundation,Services,CAF2,Bond,Main Market,Senior Secured,XS2408363278,GBP,Open,,,,United Kingdom,Private,08-12-2031,08-12-2022,Fixed,Biannual,3.5%,4.094,5.559,85.5000,8.4200
Stonegate,Property,STONPB,Bond,Main Market,Senior Secured,XS2210014788,GBP,Open,B3,,B,UK,Private,31-07-2025,15-01-2023,Fixed,Biannual,8.25%,8.992,11.900,91.7500,0
One Savings Bank,Banks & Financials,ONESAV_4.6s,Perpetual,Perpetuals,Subordinated,GB00B67JQX63,GBP,Open,,,,United Kingdom,Public,27-08-2024,27-02-2023,Fixed,Biannual,4.6007%,4.894,8.294,94.0000,32699.3300
EDF,"Energy, Utilities & Infrastructure",EDF,Perpetual,Main Market,Unsecured,FR0011700293,GBP,Open,Ba1,B+,BBB-,France,Public,22-01-2029,22-01-2023,Fixed,Biannual,5.875%,7.309,10.235,80.3750,0
Arrow,Banks & Financials,ARWLN_2026,Bond,Main Market,Senior Secured,XS2010026990,GBP,Open,B1,B+,BB-,UK,Public,15-11-2026,15-05-2023,Fixed,Biannual,6.0%,7.987,14.405,75.1250,0
Daily Mail & General Trust,"Entertainment, Media & Broadcasting",DMGTLN,Bond,Main Market,Unsecured,XS0306155499,GBP,Open,,BB-,BB+,UK,Public,21-06-2027,21-06-2023,Fixed,Annual,6.375%,7.054,8.814,90.3750,90459.4600
Virgin Media,Cable & Telecoms,VMED_GREEN,Bond,Main Market,Senior Secured,XS2358483258,GBP,Open,Ba3,BB-,BB+,UK,Private,15-07-2031,15-01-2023,Fixed,Biannual,4.5%,5.581,7.592,80.6250,0
Together,Banks & Financials,BRACKN_6.75,Bond,High Yield,"Unsecured, PIK",XS2400445362,GBP,Open,,B+,B,UK,Private,01-11-2027,15-04-2023,Payment-In-Kind Toggle,Biannual,6.75%,9.137,14.281,73.8750,29285.6400
Modulaire Group,Services,MODULA,Bond,Main Market,Senior Secured,XS2397447538,GBP,Open,B2,B,B+,UK,Private,30-11-2028,30-11-2022,Fixed,Biannual,6.125%,7.249,9.563,84.5000,0
Eros,"Entertainment, Media & Broadcasting",EROS,Bond,Special Situations,Unsecured,XS1112834608,GBP,Open,,,,India,Public,15-04-2023,15-04-2023,Fixed,Biannual,8.5%,48.571,0.000,17.5000,59314.1900
Inspired Entertainment,"Entertainment, Media & Broadcasting",INSE,Bond,Main Market,Senior Secured,XS2343996919,GBP,Open,B2,,B,United States,Private,01-06-2026,01-12-2022,Fixed,Biannual,7.875%,8.333,9.748,94.5000,0
Alpha Plus Group,Property,ALPHPH,Bond,Main Market,Senior Secured,XS1379593566,GBP,Open,,,,UK,Private,31-03-2024,31-03-2023,Fixed,Biannual,5.0%,5.263,8.956,95.0000,0
4Finance,Banks & Financials,FOURFN,Bond,High Yield,Unsecured,XS1417876163,EUR,Open,B2,B-,,Latvia,Private,23-02-2025,23-11-2022,Fixed,Quarterly,11.25%,11.583,12.931,97.1250,22081.6200
Lowell (Garfunkelux),Banks & Financials,GFKLDE,Bond,Main Market,Senior Secured,XS2250155467,GBP,Open,B2,B+,B+,UK & Germany,Private,01-11-2025,01-05-2023,Fixed,Biannual,7.75%,10.081,18.204,76.8750,0
Petrobras,"Energy, Utilities & Infrastructure",PETBRA_2034,Bond,Main Market,Unsecured,XS0982711474,GBP,Open,Ba1,BB-,BB-,Brazil,Public,16-01-2034,16-01-2023,Fixed,Annual,6.625%,7.703,8.444,86.0000,0
Petrobras,"Energy, Utilities & Infrastructure",PETBRA,Bond,Main Market,Unsecured,XS0835891838,GBP,Open,Ba1,BB-,BB-,Brazil,Public,01-10-2029,01-10-2023,Fixed,Annual,5.375%,6.259,7.975,85.8750,0
United Group,"Entertainment, Media & Broadcasting",ADRBID,Bond,High Yield,"Unsecured, PIK",XS1843436731,EUR,Open,,B-,,Netherlands,LLC,15-11-2025,15-05-2023,Payment-In-Kind Toggle,Biannual,9.0%,11.557,19.029,77.8750,0
Punch Taverns,Property,PUBLN,Bond,Main Market,Senior Secured,XS2357307664,GBP,Open,B3,,B+,UK,Private,30-06-2026,30-12-2022,Fixed,Biannual,6.125%,6.931,10.031,88.3750,47241.2100
R.E.A. Holdings,"Energy, Utilities & Infrastructure",RELN,Bond,High Yield,Unsecured,GB00BYY8MM32,GBP,Open,,,,UK,Private,31-08-2025,31-12-2022,Fixed,Biannual,8.75%,9.126,11.781,95.8750,0
Iceland,Retail,ICELTD_2028,Bond,Main Market,Senior Secured,XS2304198331,GBP,Open,B3,B,B+,UK,Private,15-05-2028,15-05-2023,Fixed,Biannual,4.375%,5.993,11.064,73.0000,0
Very Group (Shop Direct),Retail,SHODFP_2026,Bond,Main Market,Senior Secured,XS2370618618,GBP,Open,B3,,B-,UK,Private,01-08-2026,01-02-2023,Fixed,Biannual,6.5%,8.754,15.960,74.2500,0
Encore Capital Group,Banks & Financials,ECPG_4.25s,Bond,Main Market,Senior Secured,XS2346127272,GBP,Open,Ba2,,BB+,United States,Public,01-06-2028,01-12-2022,Fixed,Biannual,4.25%,5.695,10.389,74.6250,0
Asda,Retail,ASSDLN_2026,Bond,Main Market,Senior Secured,XS2303071992,GBP,Open,B1,,BB+,United Kingdom,Private,16-02-2026,01-04-2023,Fixed,Biannual,3.25%,3.957,9.801,82.1250,0
Constellation Automotive Group,Automotive,CONSTE,Bond,Main Market,Senior Secured,XS2366652084,GBP,Open,B2,,B-,United Kingdom,Public,15-07-2027,15-04-2023,Fixed,Biannual,4.875%,7.130,14.428,68.3750,0
Advanz Pharma,Healthcare,ADVZCN,Bond,Main Market,Senior Secured,XS2325700164,GBP,Open,B3,B-,B+,United Kingdom,Public,01-04-2028,01-04-2023,Fixed,Biannual,6.25%,7.874,11.498,79.3750,0
Boparan,Consumer & Food,BOPRLN_2025,Bond,Main Market,Senior Secured,XS2262082758,GBP,Open,Caa1,B-,B,UK,Private,30-11-2025,30-11-2022,Fixed,Biannual,7.625%,10.893,21.598,70.0000,0
British American Tobacco,Consumer & Food,BATSLN,Bond,Main Market,Unsecured,XS1488409977,GBP,Open,Baa2,BBB+,BBB,United Kingdom,Public,09-09-2052,09-09-2023,Fixed,Annual,2.25%,4.891,6.217,46.0000,0
Together,Banks & Financials,BRACKN_2027,Bond,Main Market,Senior Secured,XS2287892751,GBP,Open,,BB-,BB-,UK,Private,15-01-2027,15-01-2023,Fixed,Biannual,5.25%,6.316,10.338,83.1250,0
Dignity,Services,DIGFIN,Bond,Main Market,Second Lien Secured,XS1115296631,GBP,Open,,B+,BB+,UK,Public,31-12-2049,31-12-2022,Fixed,Biannual,4.6956%,6.522,7.018,72.0000,21056.9000
AMP Clean Energy,"Energy, Utilities & Infrastructure",AMPILT,Bond,Main Market,Senior Secured,GB00BYVQM755,GBP,Open,,,,UK,Private,17-10-2036,31-12-2022,Fixed,Quarterly,8.0%,8.247,8.454,97.0000,0
Canary Wharf Group,Property,CWHARF,Bond,Main Market,Senior Secured,XS2327414731,GBP,Open,Baa3,,BBB-,United Kingdom,Private,23-04-2028,23-04-2023,Fixed,Biannual,3.375%,4.419,8.963,76.3750,0
Gatwick,"Energy, Utilities & Infrastructure",GTWICK,Bond,Main Market,Unsecured,XS2329602135,GBP,Open,Ba3,,BB-,United Kingdom,Private,07-04-2026,07-04-2023,Fixed,Biannual,4.375%,5.043,8.995,86.7500,0
Greensleeves Homes Trust,Healthcare,RCHBLN_2026,Bond,Main Market,Unsecured,XS1575974933,GBP,Open,,,,UK,Charitable Trust,30-03-2026,30-03-2023,Fixed,Biannual,4.25%,4.509,6.165,94.2500,0
Greensleeves Homes Trust,Healthcare,RCHBLN_2030,Bond,Main Market,Unsecured,XS2250730749,GBP,Open,,,,UK,Charitable Trust,17-12-2030,17-12-2022,Fixed,Biannual,5.0%,5.249,5.742,95.2500,45890.4600
Bruntwood,Property,BRU2,Bond,High Yield,Unsecured,XS2104011304,GBP,Open,,,,UK,Private,25-02-2025,25-02-2023,Fixed,Biannual,6.0%,6.061,6.475,99.0000,0
Heathrow,"Energy, Utilities & Infrastructure",HTHROW,Bond,Main Market,Unsecured,XS2081020872,GBP,Open,B1,,BB+,UK,Private,01-09-2029,01-03-2023,Fixed,Biannual,4.625%,6.303,10.143,73.3750,0
International Personal Finance,Banks & Financials,IPFLN_2025,Bond,High Yield,Unsecured,XS2256977013,EUR,Open,Ba3,,BB-,UK,Public,12-11-2025,12-11-2023,Fixed,Annual,9.75%,12.131,18.118,80.3750,18048.9400
Regional REIT,Property,RGL1,Bond,High Yield,Unsecured,XS1849479602,GBP,Open,,,,United Kingdom,Public,06-08-2024,06-02-2023,Fixed,Biannual,4.5%,4.675,6.842,96.2500,0
John Lewis,Retail,JOHLEW,Bond,Main Market,Unsecured,XS1140961563,GBP,Open,,,,UK,Trust,18-12-2034,18-12-2022,Fixed,Annual,4.25%,6.746,9.317,63.0000,0
Provident Financial,Banks & Financials,PFGLN7s,Bond,Main Market,Unsecured,XS1827005411,GBP,Open,,,BB,UK,Public,04-06-2023,04-12-2022,Fixed,Biannual,8.25%,8.158,6.115,101.1250,84916.3500
Rolls-Royce,Automotive,ROLLS,Bond,Main Market,Unsecured,XS0944831154,GBP,Open,Ba3,BB-,BB-,UK,Public,18-06-2026,18-06-2023,Fixed,Annual,3.375%,3.965,8.168,85.1250,0
GKN,Automotive,GKNLN,Bond,Main Market,Unsecured,XS1611857795,GBP,Open,Ba1,BB+,BB+,UK,Public,12-05-2032,12-05-2023,Fixed,Annual,4.625%,6.016,8.062,76.8750,21454.5700
Matalan,Retail,MTNLN,Bond,Main Market,Senior Secured,XS1756324411,GBP,Open,B3,CCC,,UK,Private,31-01-2023,31-01-2023,Fixed,Biannual,6.75%,7.162,38.471,94.2500,0
NewDay,Banks & Financials,NWDAY,Bond,Main Market,Senior Secured,XS1554448271,GBP,Open,B2,B+,,UK,Private,01-02-2024,01-02-2023,Fixed,Biannual,7.375%,7.815,12.521,94.3750,105806.9000
The Co-operative Bank,Banks & Financials,COOPBK,Bond,High Yield,Unsecured,XS1986325972,GBP,Open,,,,UK,Private,25-04-2029,25-04-2023,Fixed,Biannual,9.5%,10.147,10.901,93.6250,29574.8400
Iceland,Retail,ICE2,Bond,Main Market,Senior Secured,XS1681806326,GBP,Open,B3,B,B+,UK,Private,15-03-2025,15-04-2023,Fixed,Biannual,4.625%,5.409,11.942,85.5000,0
Energia,"Energy, Utilities & Infrastructure",VRDLN,Bond,Main Market,Senior Secured,XS1684812339,GBP,Open,Ba3,,BB+,Ireland,Private,15-09-2024,15-03-2023,Fixed,Biannual,4.75%,5.191,9.942,91.5000,0
BUPA,"Business Services, Shipping & Logistics",BUPA_2035,Bond,Main Market,Unsecured,XS2190040100,GBP,Open,Baa1,,BBB-,UK,Private,14-06-2035,14-12-2022,Fixed,Biannual,4.125%,5.314,6.800,77.6250,0
Royal London Mutual,Banks & Financials,RLMI,Bond,Main Market,Unsecured,XS2061962465,GBP,Open,Baa1,BBB+,,UK,Private,07-10-2049,07-10-2023,Fixed,Annual,4.875%,6.352,6.664,76.7500,0
Saga,Travel,SAGA,Bond,Main Market,Unsecured,XS1610655950,GBP,Open,B1,B,,UK,Public,12-05-2024,12-05-2023,Fixed,Biannual,3.375%,3.719,10.242,90.7500,0
International Personal Finance,Banks & Financials,IPFLN_2023,Bond,High Yield,Unsecured,XS1998163148,GBP,Open,Ba3,,BB-,UK,Public,14-12-2023,14-12-2022,Fixed,Biannual,7.75%,7.868,9.238,98.5000,28369.2500
Burford Capital,Banks & Financials,BURLN_2026,Bond,Main Market,Unsecured,XS1614096425,GBP,Open,Ba2,,,UK,Public,01-12-2026,01-12-2022,Fixed,Biannual,5.0%,5.565,7.989,89.8500,0
Hiscox,Banks & Financials,HSXLN,Bond,Main Market,Unsecured,XS1323450236,GBP,Open,,BBB-,BBB-,UK,Public,24-11-2045,24-11-2022,Fixed,Annual,6.125%,6.490,6.501,94.3750,0
Amigo Loans,Banks & Financials,AMIGO,Bond,Special Situations,Senior Secured,XS1533928625,GBP,Open,B3,B-,,UK,Private,15-01-2024,15-01-2023,Fixed,Biannual,7.625%,7.861,10.415,97.0000,0
M&G,Banks & Financials,MGNLN,Bond,Main Market,Unsecured,XS1888925747,GBP,Open,A3,BBB,BBB+,UK,Public,20-10-2068,20-04-2023,Fixed,Biannual,6.25%,7.143,7.184,87.5000,16318.5800
DP World,"Energy, Utilities & Infrastructure",DPWDU,Bond,Main Market,Unsecured,XS1883878883,GBP,Open,Baa3,,BBB-,United Arab Emirates,Private,25-09-2030,25-09-2023,Fixed,Annual,4.25%,4.576,5.313,92.8750,35461.8700
Travelodge,Travel,TRAVEL_FRN,Bond,Main Market,Senior Secured,XS2021472084,GBP,Open,Caa1,CCC+,,UK,Private,15-07-2025,16-01-2023,Floating,Quarterly,L+5.375%,5.870,12.281,92.0000,0
HSBC,Banks & Financials,HSBC,Bond,Main Market,Unsecured,XS0498768315,GBP,Open,Baa1,BBB,A-,Hong Kong,Public,29-03-2040,29-03-2023,Fixed,Annual,6.0%,6.513,6.670,92.1250,75880.7500
Society of Lloyd's,Banks & Financials,LLYDIN,Bond,Main Market,Unsecured,XS1558089261,GBP,Open,,BBB+,A-,UK,Private,07-02-2047,07-02-2023,Fixed,Annual,4.875%,5.270,5.366,92.5000,0
Kraft Heinz,Consumer & Food,KHC,Bond,Main Market,Unsecured,XS1253559865,GBP,Open,Baa3,BBB-,BBB-,USA,Public,01-07-2027,01-07-2023,Fixed,Annual,4.125%,4.308,5.112,95.7500,0
Yell,"Entertainment, Media & Broadcasting",YELL,Bond,Special Situations,Senior Secured,XS1813549257,GBP,Open,WR,NR,,UK,Private,31-03-2027,15-03-2023,Fixed,Biannual,8.75%,8.761,8.780,99.8750,294.8500
Scottish Widows,Banks & Financials,SCTWID,Bond,Main Market,Unsecured,XS0914791768,GBP,Open,Baa1,NR,BBB+,UK,Subsidiary,16-06-2043,16-06-2023,Fixed,Annual,7.0%,6.659,6.432,105.1250,16745.2600
Standard Chartered,Banks & Financials,STANLN,Bond,Main Market,Unsecured,XS1075419694,GBP,Open,Baa2,BBB-,BBB+,UK,Public,06-06-2034,06-06-2023,Fixed,Annual,5.125%,5.609,6.094,91.3750,59513.6200
Legal & General,Banks & Financials,LGEN,Bond,Main Market,Unsecured,XS1079028566,GBP,Open,A3,BBB+,BBB+,UK,Public,27-06-2064,27-12-2022,Fixed,Biannual,5.5%,6.137,6.198,89.6250,52472.6200
Marks & Spencer,Retail,MARSPE,Bond,Main Market,Unsecured,XS2024535036,GBP,Open,Ba1,BB+,BB+,UK,Public,10-07-2027,10-07-2023,Fixed,Annual,4.5%,5.325,8.505,84.5000,0
Eramet,"Energy, Utilities & Infrastructure",ERAFP,Bond,Main Market,Unsecured,FR0013461274,EUR,Open,,,,France,Public,21-05-2025,21-05-2023,Fixed,Annual,5.875%,5.846,5.561,100.5000,80.0000
Provident Financial,Banks & Financials,PFGLN,Bond,Main Market,Unsecured,XS1209091856,GBP,Open,,,BB,UK,Public,09-10-2023,09-04-2023,Fixed,Biannual,5.125%,5.182,6.404,98.9000,0
Codere Group,"Entertainment, Media & Broadcasting",CDRSM,Bond,Main Market,Senior Secured,XS1513765922,EUR,Suspended,Caa3,CCC-,WD,Spain,Public,30-11-2027,30-04-2023,Payment-In-Kind,Biannual,12.75%,15.408,0.000,82.7500,0
Independent Oil & Gas,"Energy, Utilities & Infrastructure",IOGLN,Bond,Main Market,Senior Secured,NO0010863236,EUR,Open,,,,UK,Public,20-09-2024,20-12-2022,Floating,Quarterly,E+9.5%,9.744,12.585,97.5000,70.9100
Esure,Banks & Financials,ESURLN,Bond,High Yield,Unsecured,XS1155568436,GBP,Open,,,,UK,Private,19-12-2024,19-12-2022,Fixed,Biannual,6.75%,7.115,9.508,94.8750,0
Just Group,Banks & Financials,JUSTLIN_2029,Bond,Main Market,Unsecured,XS2059770409,GBP,Open,,,BBB,UK,Public,26-10-2029,26-04-2023,Fixed,Biannual,8.125%,7.908,7.606,102.7500,0
Metro Bank,Banks & Financials,MTRLON_2025,Bond,High Yield,Unsecured,XS2063492396,GBP,Open,,,B,UK,Public,08-10-2025,08-04-2023,Fixed,Biannual,9.5%,12.025,19.299,79.0000,0
Intu,Property,INTULN_2023,Bond,Special Situations,Senior Secured,XS0904228557,GBP,Suspended,,CCC-,,UK,Private,31-03-2024,17-03-2023,Fixed,Biannual,9.0%,20.000,0.000,45.0000,0
Saga,Travel,SAGALN,Bond,Main Market,Unsecured,XS2357117881,GBP,Open,B1,B,,UK,Public,15-07-2026,15-01-2023,Fixed,Biannual,5.5%,7.774,16.441,70.7500,49831.4900
Pension Insurance Corporation,Banks & Financials,PICORP_PERP,Perpetual,Perpetuals,"Unsecured, AT1",XS1843431427,GBP,Open,,,BBB-,UK,Private,25-07-2029,25-01-2023,Fixed,Biannual,7.375%,8.206,9.448,89.8750,0
Flora Foods Group,Consumer & Food,SIGHCO_EUR,Bond,High Yield,Unsecured,XS1813504666,EUR,Open,Caa2,CCC,CCC+,UK,Private,15-05-2026,15-05-2023,Fixed,Biannual,5.75%,8.712,19.653,66.0000,0
Ardagh,Consumer & Food,ARDAGH,Bond,Main Market,Unsecured,XS1628848241,GBP,Open,Caa1,B-,CCC+,Ireland,Public,15-07-2027,15-01-2023,Fixed,Biannual,4.75%,6.667,13.199,71.2500,0
TP ICAP,Banks & Financials,TCAPLN,Bond,Main Market,Unsecured,XS1555815494,GBP,Open,,,BBB-,UK,Public,26-01-2024,26-01-2023,Fixed,Biannual,5.25%,5.412,7.930,97.0000,0
Virgin Money,Banks & Financials,CYBG_2024,Perpetual,Perpetuals,"Unsecured, AT1",XS1959441640,GBP,Open,Ba1,B,BB,UK,Public,08-06-2024,08-12-2022,Fixed,Biannual,9.25%,9.403,10.398,98.3750,0
Anglian Water,"Energy, Utilities & Infrastructure",OSPRAQ,Bond,Main Market,Unsecured,XS1732478000,GBP,Open,WR,,BBB-,UK,Private,08-03-2026,08-03-2023,Fixed,Biannual,4.0%,4.401,7.142,90.8800,15116.0100
Pension Insurance Corporation,Banks & Financials,PICORP,Bond,Main Market,Unsecured,XS1523966197,GBP,Open,,,BBB+,UK,Private,23-11-2026,23-11-2022,Fixed,Annual,8.0%,7.795,7.097,102.6250,39108.0100
Shawbrook Bank,Banks & Financials,SHAWLN,Perpetual,Perpetuals,"Unsecured, AT1",XS1731676794,GBP,Suspended,,,,UK,Private,08-12-2022,08-12-2022,Fixed,Biannual,7.875%,9.144,528.350,86.1250,0
Center Parcs,Property,CPARKS,Bond,Main Market,Second Lien Secured,XS1622392014,GBP,Open,,B-,B,UK,Private,28-08-2025,28-02-2023,Fixed,Biannual,4.875%,5.328,8.360,91.5000,0
Deutsche Bank,Banks & Financials,DBPERP,Perpetual,Perpetuals,"Unsecured, AT1",XS1071551391,GBP,Open,Ba3,BB-,BB,Germany,Public,30-04-2026,30-04-2023,Fixed,Annual,7.125%,8.155,11.423,87.3750,0
Vodafone,Cable & Telecoms,VOD,Bond,Main Market,Unsecured,XS1472483772,GBP,Open,Baa2,BBB,BBB,UK,Public,12-08-2056,12-08-2023,Fixed,Annual,3.0%,4.478,4.995,67.0000,0
OakNorth Bank,Banks & Financials,OAKNBK,Bond,High Yield,Unsecured,XS1713463047,GBP,Open,,,,UK,Private,01-06-2028,01-12-2022,Fixed,Biannual,7.75%,7.579,7.248,102.2500,0
Barclays,Banks & Financials,BACR,Perpetual,Perpetuals,"Unsecured, AT1",XS1658012023,GBP,Open,Ba2,B+,BBB-,UK,Public,15-09-2024,15-12-2022,Fixed,Quarterly,5.875%,6.564,12.574,89.5000,0
Metro Bank,Banks & Financials,MTRLON,Bond,High Yield,Unsecured,XS1844097987,GBP,Open,,,CCC+,UK,Public,26-06-2028,26-12-2022,Fixed,Biannual,5.5%,10.451,19.887,52.6250,0
Unique Pub Co.,Property,UNIQ,Bond,Main Market,Senior Secured,XS0154961188,GBP,Open,WR,B-,B-,UK,Private,30-03-2032,30-12-2022,Fixed,Quarterly,6.464%,5.519,4.261,117.1250,10838.5100
PureGym,Retail,PURGYM,Bond,Main Market,Senior Secured,XS1756633126,GBP,Open,B3,NR,B-,UK,Private,15-02-2025,15-02-2023,Fixed,Biannual,6.375%,7.054,11.341,90.3750,0
Jaguar Land Rover,Automotive,TTMTIN,Bond,Main Market,Unsecured,XS1195502031,GBP,Open,B1,B+,WD,UK,Private,01-03-2023,01-03-2023,Fixed,Biannual,3.875%,3.909,6.958,99.1250,0
Virgin Money,Banks & Financials,CYBG,Perpetual,Perpetuals,"Unsecured, AT1",XS1346644799,GBP,Open,,B,BB,UK,Public,08-12-2022,08-12-2022,Fixed,Biannual,8.0%,7.940,0.000,100.7500,0
Netflix,Technology,NFLX2,Bond,Main Market,Unsecured,XS2076099865,EUR,Open,Ba1,BBB,,USA,Public,15-05-2029,15-05-2023,Fixed,Biannual,4.625%,4.666,4.783,99.1250,0
Aviva,Banks & Financials,AVLN,Bond,Main Market,Unsecured,XS0364880186,GBP,Open,A3,BBB+,BBB+,UK,Public,20-05-2058,20-11-2022,Fixed,Biannual,6.875%,6.691,6.672,102.7500,90703.5500
Goldman Sachs,Banks & Financials,GS,Bond,Main Market,Unsecured,XS1859424902,GBP,Open,A2,BBB+,A,UK,Public,25-07-2029,25-07-2023,Fixed,Annual,3.125%,3.628,5.595,86.1250,39427.5700
Intermediate Capital Group,Banks & Financials,ICPLN,Bond,Main Market,Unsecured,XS1200576699,GBP,Open,,BBB,BBB,UK,Public,24-03-2023,24-03-2023,Fixed,Biannual,5.0%,5.000,4.981,100.0000,0
Shawbrook Bank,Banks & Financials,SHAWLN_2030,Bond,High Yield,Unsecured,XS2199260576,GBP,Suspended,,,,UK,Private,10-10-2030,10-04-2023,Fixed,Biannual,9.0%,9.172,9.338,98.1250,0
Travelex,Banks & Financials,TVLX_2025,Bond,High Yield,"Unsecured, PIK",XS2248458049,GBP,Open,,,,United Kingdom,Private,05-08-2025,05-02-2023,Payment-In-Kind Toggle,Quarterly,12.5%,11.962,10.974,104.5000,30148.2100
Codere Group,"Entertainment, Media & Broadcasting",CDRSM_2023,Bond,High Yield,Super Senior Secured,XS2209052419,EUR,Open,Caa1,CCC+,WD,Spain,Public,30-09-2026,31-03-2023,Payment-In-Kind,Biannual,11.0%,11.640,0.000,94.5000,55976.1800
Burford Capital,Banks & Financials,BURLN_2024,Bond,Main Market,Unsecured,XS1391063424,GBP,Open,Ba2,,,UK,Public,26-10-2024,26-04-2023,Fixed,Biannual,6.125%,6.156,6.400,99.5000,9698.0100
New Look,Retail,NLK_2027,Loan,Special Situations,"Unsecured, PIK",NLK_2027,GBP,Suspended,,,,United Kingdom,Private,09-11-2027,10-05-2023,Payment-In-Kind,Biannual,16.5%,16.500,16.497,100.0000,0
AMC,"Entertainment, Media & Broadcasting",AMC_2026,Bond,Special Situations,"Unsecured, PIK",USU0237LAJ45,USD,Suspended,Caa3,CCC-,,USA,Public,15-06-2026,15-12-2022,Payment-In-Kind,Biannual,12.0%,29.358,37.974,40.8750,0
New Look,Retail,NLK_SUB,Loan,Special Situations,Subordinated,NLK_SUB,GBP,Suspended,,,,United Kingdom,Private,09-11-2029,09-11-2029,Fixed,Biannual,0.0%,0.000,0.000,100.0000,0
LendInvest,Banks & Financials,LENDIN2,Bond,Main Market,Senior Secured,XS1791022186,GBP,Open,,,,UK,Private,06-10-2023,06-04-2023,Fixed,Biannual,5.375%,5.402,5.955,99.5000,28.0000
The AA,Services,AABOND_2026,Bond,High Yield,Second Lien Secured,XS2291336167,GBP,Open,,B+,,UK,Private,31-01-2026,31-01-2023,Fixed,Biannual,6.5%,7.963,13.776,81.6250,0
Matalan,Retail,MTNLN_2LIEN,Bond,High Yield,Second Lien Secured,XS1756324684,GBP,Suspended,Caa3,CC,,UK,Private,31-01-2024,31-01-2023,Payment-In-Kind Toggle,Biannual,9.5%,11.585,26.924,82.0000,0
AMC,"Entertainment, Media & Broadcasting",AMC,Bond,Main Market,Subordinated,XS1512809606,GBP,Open,Ca,CCC-,WD,USA,Public,15-11-2024,15-11-2024,Fixed,Biannual,6.375%,8.279,20.040,77.0000,0
Golden Lane Housing,Property,RCHBLN,Bond,Main Market,Unsecured,XS2357539522,GBP,Open,,,,United Kingdom,Private,22-07-2031,22-01-2023,Fixed,Biannual,3.25%,3.591,4.589,90.5000,0
United Group,"Entertainment, Media & Broadcasting",ADRBID_28,Bond,Main Market,Senior Secured,XS2010027881,EUR,Open,B2,B,,Netherlands,LLC,15-08-2028,15-02-2023,Fixed,Biannual,4.625%,6.026,10.047,76.7500,0
Provident Financial,Banks & Financials,PFGLN_2032,Bond,High Yield,Subordinated,XS2397348801,GBP,Open,,,B+,UK,Public,13-01-2032,13-01-2023,Fixed,Biannual,8.875%,9.847,10.581,90.1250,0
