Company,Industry,Ticker,Type,Market,Seniority,ISIN,Currency,State,Moody's,S&P,Fitch,Country,Ownership,Maturity,Next Payment,Coupon Type,Coupon Frequency,Coupon,Current Yield,YTM / YTC,Price,Available
Arrow,Banks & Financials,ARWLN_2026,Bond,Main Market,Senior Secured,XS2010026990,GBP,Open,B1,B+,BB-,UK,Public,15-11-2026,15-11-2022,Fixed,Biannual,6.0%,8.094,14.779,74.1250,45720.0300
Daily Mail & General Trust,"Entertainment, Media & Broadcasting",DMGTLN,Bond,Main Market,Unsecured,XS0306155499,GBP,Open,,BB-,BB+,UK,Public,21-06-2027,21-06-2023,Fixed,Annual,6.375%,6.855,8.082,93.0000,92430.1300
Virgin Media,Cable & Telecoms,VMED_GREEN,Bond,Main Market,Senior Secured,XS2358483258,GBP,Open,Ba3,BB-,BB+,UK,Private,15-07-2031,15-01-2023,Fixed,Biannual,4.5%,5.723,7.956,78.6250,28.4700
Together,Banks & Financials,BRACKN_6.75,Bond,High Yield,"Unsecured, PIK",XS2400445362,GBP,Open,,B+,B,UK,Private,01-11-2027,15-04-2023,Payment-In-Kind Toggle,Biannual,6.75%,9.262,14.611,72.8750,35633.1800
Modulaire Group,Services,MODULA,Bond,Main Market,Senior Secured,XS2397447538,GBP,Open,B2,B,B+,UK,Private,30-11-2028,30-11-2022,Fixed,Biannual,6.125%,7.402,9.990,82.7500,0
Eros,"Entertainment, Media & Broadcasting",EROS,Bond,Special Situations,Unsecured,XS1112834608,GBP,Open,,,,India,Public,15-04-2023,15-04-2023,Fixed,Biannual,8.5%,49.275,0.000,17.2500,59873.4600
Inspired Entertainment,"Entertainment, Media & Broadcasting",INSE,Bond,Main Market,Senior Secured,XS2343996919,GBP,Open,B2,,B,United States,Private,01-06-2026,01-12-2022,Fixed,Biannual,7.875%,8.491,10.361,92.7500,106.9600
Alpha Plus Group,Property,ALPHPH,Bond,Main Market,Senior Secured,XS1379593566,GBP,Open,,,,UK,Private,31-03-2024,31-03-2023,Fixed,Biannual,5.0%,5.263,8.911,95.0000,0
4Finance,Banks & Financials,FOURFN,Bond,High Yield,Unsecured,XS1417876163,EUR,Open,B2,B-,,Latvia,Private,23-02-2025,23-11-2022,Fixed,Quarterly,11.25%,11.613,13.055,96.8750,26110.2300
Lowell (Garfunkelux),Banks & Financials,GFKLDE,Bond,Main Market,Senior Secured,XS2250155467,GBP,Open,B2,B+,B+,UK & Germany,Private,01-11-2025,01-05-2023,Fixed,Biannual,7.75%,10.616,20.281,73.0000,0
Petrobras,"Energy, Utilities & Infrastructure",PETBRA_2034,Bond,Main Market,Unsecured,XS0982711474,GBP,Open,Ba1,BB-,BB-,Brazil,Public,16-01-2034,16-01-2023,Fixed,Annual,6.625%,7.840,8.671,84.5000,0
Petrobras,"Energy, Utilities & Infrastructure",PETBRA,Bond,Main Market,Unsecured,XS0835891838,GBP,Open,Ba1,BB-,BB-,Brazil,Public,01-10-2029,01-10-2023,Fixed,Annual,5.375%,6.361,8.258,84.5000,0
United Group,"Entertainment, Media & Broadcasting",ADRBID,Bond,High Yield,"Unsecured, PIK",XS1843436731,EUR,Open,,B-,,Netherlands,LLC,15-11-2025,15-11-2022,Payment-In-Kind Toggle,Biannual,9.0%,12.287,21.524,73.2500,0
Punch Taverns,Property,PUBLN,Bond,Main Market,Senior Secured,XS2357307664,GBP,Open,B3,,B+,UK,Private,30-06-2026,30-12-2022,Fixed,Biannual,6.125%,6.970,10.196,87.8750,51012.4900
R.E.A. Holdings,"Energy, Utilities & Infrastructure",RELN,Bond,High Yield,Unsecured,GB00BYY8MM32,GBP,Open,,,,UK,Private,31-08-2025,31-12-2022,Fixed,Biannual,8.75%,9.284,12.475,94.2500,13.1700
Iceland,Retail,ICELTD_2028,Bond,Main Market,Senior Secured,XS2304198331,GBP,Open,B3,B,B+,UK,Private,15-05-2028,15-11-2022,Fixed,Biannual,4.375%,6.195,11.769,70.6250,0
Very Group (Shop Direct),Retail,SHODFP_2026,Bond,Main Market,Senior Secured,XS2370618618,GBP,Open,B3,,B-,UK,Private,01-08-2026,01-02-2023,Fixed,Biannual,6.5%,9.369,18.161,69.3750,0
Encore Capital Group,Banks & Financials,ECPG_4.25s,Bond,Main Market,Senior Secured,XS2346127272,GBP,Open,Ba2,,BB+,United States,Public,01-06-2028,01-12-2022,Fixed,Biannual,4.25%,5.734,10.517,74.1250,11.3200
Asda,Retail,ASSDLN_2026,Bond,Main Market,Senior Secured,XS2303071992,GBP,Open,B1,,BB+,United Kingdom,Private,16-02-2026,01-04-2023,Fixed,Biannual,3.25%,4.012,10.235,81.0000,0
Constellation Automotive Group,Automotive,CONSTE,Bond,Main Market,Senior Secured,XS2366652084,GBP,Open,B2,,B-,United Kingdom,Public,15-07-2027,15-04-2023,Fixed,Biannual,4.875%,7.372,15.271,66.1250,0
Advanz Pharma,Healthcare,ADVZCN,Bond,Main Market,Senior Secured,XS2325700164,GBP,Open,B3,B-,B+,United Kingdom,Public,01-04-2028,01-04-2023,Fixed,Biannual,6.25%,8.117,12.193,77.0000,0
Boparan,Consumer & Food,BOPRLN_2025,Bond,Main Market,Senior Secured,XS2262082758,GBP,Open,Caa1,B-,B,UK,Private,30-11-2025,30-11-2022,Fixed,Biannual,7.625%,10.952,21.745,69.6250,0
British American Tobacco,Consumer & Food,BATSLN,Bond,Main Market,Unsecured,XS1488409977,GBP,Open,Baa2,BBB+,BBB,United Kingdom,Public,09-09-2052,09-09-2023,Fixed,Annual,2.25%,5.158,6.529,43.6250,0
Together,Banks & Financials,BRACKN_2027,Bond,Main Market,Senior Secured,XS2287892751,GBP,Open,,BB-,BB-,UK,Private,15-01-2027,15-01-2023,Fixed,Biannual,5.25%,6.269,10.110,83.7500,51.5400
Dignity,Services,DIGFIN,Bond,Main Market,Second Lien Secured,XS1115296631,GBP,Open,,B+,BB+,UK,Public,31-12-2049,31-12-2022,Fixed,Biannual,4.6956%,6.579,7.084,71.3750,21640.7200
AMP Clean Energy,"Energy, Utilities & Infrastructure",AMPILT,Bond,Main Market,Senior Secured,GB00BYVQM755,GBP,Open,,,,UK,Private,17-10-2036,31-12-2022,Fixed,Quarterly,8.0%,8.247,8.454,97.0000,0
Canary Wharf Group,Property,CWHARF,Bond,Main Market,Senior Secured,XS2327414731,GBP,Open,Baa3,,BBB-,United Kingdom,Private,23-04-2028,23-04-2023,Fixed,Biannual,3.375%,4.355,8.639,77.5000,0
Gatwick,"Energy, Utilities & Infrastructure",GTWICK,Bond,Main Market,Unsecured,XS2329602135,GBP,Open,Ba3,,BB-,United Kingdom,Private,07-04-2026,07-04-2023,Fixed,Biannual,4.375%,5.155,9.693,84.8750,0
Greensleeves Homes Trust,Healthcare,RCHBLN_2026,Bond,Main Market,Unsecured,XS1575974933,GBP,Open,,,,UK,Charitable Trust,30-03-2026,30-03-2023,Fixed,Biannual,4.25%,4.509,6.156,94.2500,0
Greensleeves Homes Trust,Healthcare,RCHBLN_2030,Bond,Main Market,Unsecured,XS2250730749,GBP,Open,,,,UK,Charitable Trust,17-12-2030,17-12-2022,Fixed,Biannual,5.0%,5.249,5.741,95.2500,47091.5300
Bruntwood,Property,BRU2,Bond,High Yield,Unsecured,XS2104011304,GBP,Open,,,,UK,Private,25-02-2025,25-02-2023,Fixed,Biannual,6.0%,6.061,6.472,99.0000,0
Heathrow,"Energy, Utilities & Infrastructure",HTHROW,Bond,Main Market,Unsecured,XS2081020872,GBP,Open,B1,,BB+,UK,Private,01-09-2029,01-03-2023,Fixed,Biannual,4.625%,6.480,10.639,71.3750,0
International Personal Finance,Banks & Financials,IPFLN_2025,Bond,High Yield,Unsecured,XS2256977013,EUR,Open,Ba3,,BB-,UK,Public,12-11-2025,12-11-2022,Fixed,Annual,9.75%,12.245,18.459,79.6250,23294.6100
Regional REIT,Property,RGL1,Bond,High Yield,Unsecured,XS1849479602,GBP,Open,,,,United Kingdom,Public,06-08-2024,06-02-2023,Fixed,Biannual,4.5%,4.675,6.821,96.2500,346.3800
John Lewis,Retail,JOHLEW,Bond,Main Market,Unsecured,XS1140961563,GBP,Open,,,,UK,Trust,18-12-2034,18-12-2022,Fixed,Annual,4.25%,6.925,9.617,61.3750,0.4800
Provident Financial,Banks & Financials,PFGLN7s,Bond,Main Market,Unsecured,XS1827005411,GBP,Open,,,BB,UK,Public,04-06-2023,04-12-2022,Fixed,Biannual,8.25%,8.168,6.400,101.0000,85105.1800
Rolls-Royce,Automotive,ROLLS,Bond,Main Market,Unsecured,XS0944831154,GBP,Open,Ba3,BB-,BB-,UK,Public,18-06-2026,18-06-2023,Fixed,Annual,3.375%,4.042,8.731,83.5000,0
GKN,Automotive,GKNLN,Bond,Main Market,Unsecured,XS1611857795,GBP,Open,Ba1,BB+,BB+,UK,Public,12-05-2032,12-05-2023,Fixed,Annual,4.625%,6.229,8.531,74.2500,25022.5600
Matalan,Retail,MTNLN,Bond,Main Market,Senior Secured,XS1756324411,GBP,Open,B3,CCC,,UK,Private,31-01-2023,31-01-2023,Fixed,Biannual,6.75%,7.162,35.933,94.2500,0
NewDay,Banks & Financials,NWDAY,Bond,Main Market,Senior Secured,XS1554448271,GBP,Open,B2,B+,,UK,Private,01-02-2024,01-02-2023,Fixed,Biannual,7.375%,7.723,11.400,95.5000,10037.4200
The Co-operative Bank,Banks & Financials,COOPBK,Bond,High Yield,Unsecured,XS1986325972,GBP,Open,,,,UK,Private,25-04-2029,25-04-2023,Fixed,Biannual,9.5%,10.229,11.072,92.8750,0
Iceland,Retail,ICE2,Bond,Main Market,Senior Secured,XS1681806326,GBP,Open,B3,B,B+,UK,Private,15-03-2025,15-04-2023,Fixed,Biannual,4.625%,5.606,13.590,82.5000,0
Energia,"Energy, Utilities & Infrastructure",VRDLN,Bond,Main Market,Senior Secured,XS1684812339,GBP,Open,Ba3,,BB+,Ireland,Private,15-09-2024,15-03-2023,Fixed,Biannual,4.75%,5.205,10.058,91.2500,0
BUPA,"Business Services, Shipping & Logistics",BUPA_2035,Bond,Main Market,Unsecured,XS2190040100,GBP,Open,Baa1,,BBB-,UK,Private,14-06-2035,14-12-2022,Fixed,Biannual,4.125%,5.537,7.246,74.5000,0
Royal London Mutual,Banks & Financials,RLMI,Bond,Main Market,Unsecured,XS2061962465,GBP,Open,Baa1,BBB+,,UK,Private,07-10-2049,07-10-2023,Fixed,Annual,4.875%,6.690,7.053,72.8750,6.8700
Saga,Travel,SAGA,Bond,Main Market,Unsecured,XS1610655950,GBP,Open,B1,B,,UK,Public,12-05-2024,12-11-2022,Fixed,Biannual,3.375%,3.766,11.057,89.6250,23.9300
International Personal Finance,Banks & Financials,IPFLN_2023,Bond,High Yield,Unsecured,XS1998163148,GBP,Open,Ba3,,BB-,UK,Public,14-12-2023,14-12-2022,Fixed,Biannual,7.75%,7.868,9.215,98.5000,25934.8200
Burford Capital,Banks & Financials,BURLN_2026,Bond,Main Market,Unsecured,XS1614096425,GBP,Open,Ba2,,,UK,Public,01-12-2026,01-12-2022,Fixed,Biannual,5.0%,5.565,7.978,89.8500,0
Hiscox,Banks & Financials,HSXLN,Bond,Main Market,Unsecured,XS1323450236,GBP,Open,,BBB-,BBB-,UK,Public,24-11-2045,24-11-2022,Fixed,Annual,6.125%,6.551,6.577,93.5000,0
Amigo Loans,Banks & Financials,AMIGO,Bond,Special Situations,Senior Secured,XS1533928625,GBP,Open,B3,B-,,UK,Private,15-01-2024,15-01-2023,Fixed,Biannual,7.625%,7.881,10.612,96.7500,0
M&G,Banks & Financials,MGNLN,Bond,Main Market,Unsecured,XS1888925747,GBP,Open,A3,BBB,BBB+,UK,Public,20-10-2068,20-04-2023,Fixed,Biannual,6.25%,7.463,7.513,83.7500,26285.7500
DP World,"Energy, Utilities & Infrastructure",DPWDU,Bond,Main Market,Unsecured,XS1883878883,GBP,Open,Baa3,,BBB-,United Arab Emirates,Private,25-09-2030,25-09-2023,Fixed,Annual,4.25%,4.576,5.312,92.8750,35660.8700
Travelodge,Travel,TRAVEL_FRN,Bond,Main Market,Senior Secured,XS2021472084,GBP,Open,Caa1,CCC+,,UK,Private,15-07-2025,16-01-2023,Floating,Quarterly,L+5.375%,5.959,12.899,90.6250,0
HSBC,Banks & Financials,HSBC,Bond,Main Market,Unsecured,XS0498768315,GBP,Open,Baa1,BBB,A-,Hong Kong,Public,29-03-2040,29-03-2023,Fixed,Annual,6.0%,6.818,7.103,88.0000,77464.0400
Society of Lloyd's,Banks & Financials,LLYDIN,Bond,Main Market,Unsecured,XS1558089261,GBP,Open,,BBB+,A-,UK,Private,07-02-2047,07-02-2023,Fixed,Annual,4.875%,5.357,5.483,91.0000,0
Kraft Heinz,Consumer & Food,KHC,Bond,Main Market,Unsecured,XS1253559865,GBP,Open,Baa3,BBB-,BBB-,USA,Public,01-07-2027,01-07-2023,Fixed,Annual,4.125%,4.388,5.548,94.0000,0
Yell,"Entertainment, Media & Broadcasting",YELL,Bond,Special Situations,Senior Secured,XS1813549257,GBP,Open,WR,NR,,UK,Private,31-03-2027,15-03-2023,Fixed,Biannual,8.75%,8.761,8.781,99.8750,63.0000
Scottish Widows,Banks & Financials,SCTWID,Bond,Main Market,Unsecured,XS0914791768,GBP,Open,Baa1,NR,BBB+,UK,Subsidiary,16-06-2043,16-06-2023,Fixed,Annual,7.0%,6.897,6.743,101.5000,13237.1300
Standard Chartered,Banks & Financials,STANLN,Bond,Main Market,Unsecured,XS1075419694,GBP,Open,Baa2,BBB-,BBB+,UK,Public,06-06-2034,06-06-2023,Fixed,Annual,5.125%,5.840,6.565,87.7500,64607.9100
Legal & General,Banks & Financials,LGEN,Bond,Main Market,Unsecured,XS1079028566,GBP,Open,A3,BBB+,BBB+,UK,Public,27-06-2064,27-12-2022,Fixed,Biannual,5.5%,6.528,6.616,84.2500,36227.6700
Marks & Spencer,Retail,MARSPE,Bond,Main Market,Unsecured,XS2024535036,GBP,Open,Ba1,BB+,BB+,UK,Public,10-07-2027,10-07-2023,Fixed,Annual,4.5%,5.455,9.077,82.5000,0
Eramet,"Energy, Utilities & Infrastructure",ERAFP,Bond,Main Market,Unsecured,FR0013461274,EUR,Open,,,,France,Public,21-05-2025,21-05-2023,Fixed,Annual,5.875%,6.088,7.290,96.5000,0
Provident Financial,Banks & Financials,PFGLN,Bond,Main Market,Unsecured,XS1209091856,GBP,Open,,,BB,UK,Public,09-10-2023,09-04-2023,Fixed,Biannual,5.125%,5.182,6.382,98.9000,18.3900
Codere Group,"Entertainment, Media & Broadcasting",CDRSM,Bond,Main Market,Senior Secured,XS1513765922,EUR,Suspended,Caa3,CCC-,WD,Spain,Public,30-11-2027,30-04-2023,Payment-In-Kind,Biannual,12.75%,15.644,0.000,81.5000,0
Independent Oil & Gas,"Energy, Utilities & Infrastructure",IOGLN,Bond,Main Market,Senior Secured,NO0010863236,EUR,Open,,,,UK,Public,20-09-2024,20-12-2022,Floating,Quarterly,E+9.5%,9.682,12.166,98.1250,401.5500
Esure,Banks & Financials,ESURLN,Bond,High Yield,Unsecured,XS1155568436,GBP,Open,,,,UK,Private,19-12-2024,19-12-2022,Fixed,Biannual,6.75%,7.115,9.487,94.8750,0
Just Group,Banks & Financials,JUSTLIN_2029,Bond,Main Market,Unsecured,XS2059770409,GBP,Open,,,BBB,UK,Public,26-10-2029,26-04-2023,Fixed,Biannual,8.125%,7.908,7.607,102.7500,0
Metro Bank,Banks & Financials,MTRLON_2025,Bond,High Yield,Unsecured,XS2063492396,GBP,Open,,,B,UK,Public,08-10-2025,08-04-2023,Fixed,Biannual,9.5%,12.025,19.253,79.0000,0
Intu,Property,INTULN_2023,Bond,Special Situations,Senior Secured,XS0904228557,GBP,Suspended,,CCC-,,UK,Private,31-03-2024,17-03-2023,Fixed,Biannual,9.0%,19.512,0.000,46.1250,0
Saga,Travel,SAGALN,Bond,Main Market,Unsecured,XS2357117881,GBP,Open,B1,B,,UK,Public,15-07-2026,15-01-2023,Fixed,Biannual,5.5%,7.914,16.980,69.5000,93760.4100
Pension Insurance Corporation,Banks & Financials,PICORP_PERP,Perpetual,Perpetuals,"Unsecured, AT1",XS1843431427,GBP,Open,,,BBB-,UK,Private,25-07-2029,25-01-2023,Fixed,Biannual,7.375%,8.369,9.831,88.1250,0
Flora Foods Group,Consumer & Food,SIGHCO_EUR,Bond,High Yield,Unsecured,XS1813504666,EUR,Open,Caa2,CCC,CCC+,UK,Private,15-05-2026,15-11-2022,Fixed,Biannual,5.75%,9.182,21.432,62.6250,0
Ardagh,Consumer & Food,ARDAGH,Bond,Main Market,Unsecured,XS1628848241,GBP,Open,Caa1,B-,CCC+,Ireland,Public,15-07-2027,15-01-2023,Fixed,Biannual,4.75%,7.116,14.857,66.7500,0
TP ICAP,Banks & Financials,TCAPLN,Bond,Main Market,Unsecured,XS1555815494,GBP,Open,,,BBB-,UK,Public,26-01-2024,26-01-2023,Fixed,Biannual,5.25%,5.393,7.579,97.3500,26608.1900
Virgin Money,Banks & Financials,CYBG_2024,Perpetual,Perpetuals,"Unsecured, AT1",XS1959441640,GBP,Open,Ba1,B,BB,UK,Public,08-06-2024,08-12-2022,Fixed,Biannual,9.25%,9.598,11.830,96.3750,0
Anglian Water,"Energy, Utilities & Infrastructure",OSPRAQ,Bond,Main Market,Unsecured,XS1732478000,GBP,Open,WR,,BBB-,UK,Private,08-03-2026,08-03-2023,Fixed,Biannual,4.0%,4.401,7.128,90.8800,49063.2500
Pension Insurance Corporation,Banks & Financials,PICORP,Bond,Main Market,Unsecured,XS1523966197,GBP,Open,,,BBB+,UK,Private,23-11-2026,23-11-2022,Fixed,Annual,8.0%,7.911,7.521,101.1250,22.0800
Shawbrook Bank,Banks & Financials,SHAWLN,Perpetual,Perpetuals,"Unsecured, AT1",XS1731676794,GBP,Suspended,,,,UK,Private,08-12-2022,08-12-2022,Fixed,Biannual,7.875%,9.184,367.819,85.7500,0
Center Parcs,Property,CPARKS,Bond,Main Market,Second Lien Secured,XS1622392014,GBP,Open,,B-,B,UK,Private,28-08-2025,28-02-2023,Fixed,Biannual,4.875%,5.335,8.395,91.3750,42.5600
Deutsche Bank,Banks & Financials,DBPERP,Perpetual,Perpetuals,"Unsecured, AT1",XS1071551391,GBP,Open,Ba3,BB-,BB,Germany,Public,30-04-2026,30-04-2023,Fixed,Annual,7.125%,8.482,12.717,84.0000,0
Vodafone,Cable & Telecoms,VOD,Bond,Main Market,Unsecured,XS1472483772,GBP,Open,Baa2,BBB,BBB,UK,Public,12-08-2056,12-08-2023,Fixed,Annual,3.0%,4.678,5.236,64.1250,1.0900
OakNorth Bank,Banks & Financials,OAKNBK,Bond,High Yield,Unsecured,XS1713463047,GBP,Open,,,,UK,Private,01-06-2028,01-12-2022,Fixed,Biannual,7.75%,7.579,7.249,102.2500,134.5900
Barclays,Banks & Financials,BACR,Perpetual,Perpetuals,"Unsecured, AT1",XS1658012023,GBP,Open,Ba2,B+,BBB-,UK,Public,15-09-2024,15-12-2022,Fixed,Quarterly,5.875%,6.714,13.889,87.5000,0
Metro Bank,Banks & Financials,MTRLON,Bond,High Yield,Unsecured,XS1844097987,GBP,Open,,,CCC+,UK,Public,26-06-2028,26-12-2022,Fixed,Biannual,5.5%,10.451,19.850,52.6250,0
Unique Pub Co.,Property,UNIQ,Bond,Main Market,Senior Secured,XS0154961188,GBP,Open,WR,B-,B-,UK,Private,30-03-2032,30-12-2022,Fixed,Quarterly,6.464%,5.531,4.294,116.8750,10523.5500
PureGym,Retail,PURGYM,Bond,Main Market,Senior Secured,XS1756633126,GBP,Open,B3,NR,B-,UK,Private,15-02-2025,15-02-2023,Fixed,Biannual,6.375%,7.163,12.066,89.0000,0
Jaguar Land Rover,Automotive,TTMTIN,Bond,Main Market,Unsecured,XS1195502031,GBP,Open,B1,B+,WD,UK,Private,01-03-2023,01-03-2023,Fixed,Biannual,3.875%,3.919,7.641,98.8750,0
Virgin Money,Banks & Financials,CYBG,Perpetual,Perpetuals,"Unsecured, AT1",XS1346644799,GBP,Open,,B,BB,UK,Public,08-12-2022,08-12-2022,Fixed,Biannual,8.0%,7.940,0.000,100.7500,0
Netflix,Technology,NFLX2,Bond,Main Market,Unsecured,XS2076099865,EUR,Open,Ba1,BBB,,USA,Public,15-05-2029,15-11-2022,Fixed,Biannual,4.625%,4.744,5.081,97.5000,0
Aviva,Banks & Financials,AVLN,Bond,Main Market,Unsecured,XS0364880186,GBP,Open,A3,BBB+,BBB+,UK,Public,20-05-2058,20-11-2022,Fixed,Biannual,6.875%,6.910,6.913,99.5000,96212.9200
Goldman Sachs,Banks & Financials,GS,Bond,Main Market,Unsecured,XS1859424902,GBP,Open,A2,BBB+,A,UK,Public,25-07-2029,25-07-2023,Fixed,Annual,3.125%,3.698,5.911,84.5000,42748.2100
Intermediate Capital Group,Banks & Financials,ICPLN,Bond,Main Market,Unsecured,XS1200576699,GBP,Open,,BBB,BBB,UK,Public,24-03-2023,24-03-2023,Fixed,Biannual,5.0%,5.000,4.983,100.0000,0
Shawbrook Bank,Banks & Financials,SHAWLN_2030,Bond,High Yield,Unsecured,XS2199260576,GBP,Suspended,,,,UK,Private,10-10-2030,10-04-2023,Fixed,Biannual,9.0%,9.207,9.407,97.7500,0
Travelex,Banks & Financials,TVLX_2025,Bond,High Yield,"Unsecured, PIK",XS2248458049,GBP,Open,,,,United Kingdom,Private,05-08-2025,05-02-2023,Payment-In-Kind Toggle,Quarterly,12.5%,11.962,10.982,104.5000,30586.8300
Codere Group,"Entertainment, Media & Broadcasting",CDRSM_2023,Bond,High Yield,Super Senior Secured,XS2209052419,EUR,Open,Caa1,CCC+,WD,Spain,Public,30-09-2026,31-03-2023,Payment-In-Kind,Biannual,11.0%,11.687,0.000,94.1250,56189.1500
Burford Capital,Banks & Financials,BURLN_2024,Bond,Main Market,Unsecured,XS1391063424,GBP,Open,Ba2,,,UK,Public,26-10-2024,26-04-2023,Fixed,Biannual,6.125%,6.156,6.399,99.5000,9042.7000
New Look,Retail,NLK_2027,Loan,Special Situations,"Unsecured, PIK",NLK_2027,GBP,Suspended,,,,United Kingdom,Private,09-11-2027,10-11-2022,Payment-In-Kind,Biannual,16.5%,16.500,18.237,100.0000,0
AMC,"Entertainment, Media & Broadcasting",AMC_2026,Bond,Special Situations,"Unsecured, PIK",USU0237LAJ45,USD,Suspended,Caa3,CCC-,,USA,Public,15-06-2026,15-12-2022,Payment-In-Kind,Biannual,12.0%,31.788,40.304,37.7500,0
New Look,Retail,NLK_SUB,Loan,Special Situations,Subordinated,NLK_SUB,GBP,Suspended,,,,United Kingdom,Private,09-11-2029,09-11-2029,Fixed,Biannual,0.0%,0.000,0.000,100.0000,0
LendInvest,Banks & Financials,LENDIN2,Bond,Main Market,Senior Secured,XS1791022186,GBP,Open,,,,UK,Private,06-10-2023,06-04-2023,Fixed,Biannual,5.375%,5.402,5.946,99.5000,28.0000
The AA,Services,AABOND_2026,Bond,High Yield,Second Lien Secured,XS2291336167,GBP,Open,,B+,,UK,Private,31-01-2026,31-01-2023,Fixed,Biannual,6.5%,7.903,13.464,82.2500,0
Matalan,Retail,MTNLN_2LIEN,Bond,High Yield,Second Lien Secured,XS1756324684,GBP,Suspended,Caa3,CC,,UK,Private,31-01-2024,31-01-2023,Payment-In-Kind Toggle,Biannual,9.5%,11.585,26.706,82.0000,0
AMC,"Entertainment, Media & Broadcasting",AMC,Bond,Main Market,Subordinated,XS1512809606,GBP,Open,Ca,CCC-,WD,USA,Public,15-11-2024,15-11-2022,Fixed,Biannual,6.375%,8.279,19.989,77.0000,0
Golden Lane Housing,Property,RCHBLN,Bond,Main Market,Unsecured,XS2357539522,GBP,Open,,,,United Kingdom,Private,22-07-2031,22-01-2023,Fixed,Biannual,3.25%,3.591,4.587,90.5000,60.6100
United Group,"Entertainment, Media & Broadcasting",ADRBID_28,Bond,Main Market,Senior Secured,XS2010027881,EUR,Open,B2,B,,Netherlands,LLC,15-08-2028,15-02-2023,Fixed,Biannual,4.625%,6.469,11.527,71.5000,0
